model,blocks,floor_gamma,floor_beta,floor_f_statistic,floor_p_value,q10_gamma,q25_gamma,q50_gamma,epoch_student_t_gamma,epoch_spike_half_sigma_gamma,floor_bootstrap_q025,floor_bootstrap_q975,floor_bootstrap_fraction_positive,floor_drop_block_min,floor_drop_block_max,floor_drop_length_min,floor_drop_length_max
GPT-5.6 Terra,8,7.473123662508375,5.614963507671544,52.716990970415786,0.00034705659664333776,8.06180295049478,7.906030681838843,8.450077743380461,8.02646096536283,7.15164903139904,6.617604197304223,8.873226149899814,1.0,6.825206257789905,8.340693159425342,7.18824478888207,9.562263599509258
GPT-5.6 Sol,5,10.811122953955826,11.398691319454391,23.473898890056823,0.016776361226418395,13.540541743165704,10.917365885264644,9.453438678028874,10.415900440701,10.8752432032688,9.826227257838289,11.950582684462063,1.0,10.628470917918154,11.369809149050228,6.27382496295028,18.656702996861476
GPT-6 Astra,4,13.27930086454859,19.360215982187558,91.5137882184992,0.00242334405707951,14.785964788918136,12.237677253110405,11.72736723260141,11.6318618674564,,7.552105211947938,16.702576000050552,1.0,9.37083679851614,14.886073708509658,12.544795112405252,14.097350747314344
Claude Sonnet 5,14,0.3886129690485676,11.855242906993944,0.32207892986931486,0.5948935820105796,-0.0009150419487014005,0.5776016091473366,0.12337117780487006,-0.20582264355797,0.196206928599433,-0.7569165885318451,0.7848381583977242,0.6292,-0.2493135508230169,0.5921393140743455,0.025494169280652356,1.7677894983346296
Claude Opus 5,6,9.283808761204922,12.565573789471214,23.7470422047575,0.004580492808193998,8.076818401886158,6.3118953518491026,-3.782605337804682,1.57536686814213,6.38286338736151,-3.3327017026464745,9.967749041193638,0.9082,7.116894155361945,9.81432765307654,6.496783595836741,10.086185364616938
