model,blocks,floor_alpha,floor_beta,floor_gamma,f_statistic,p_value,epoch_student_t_gamma,bootstrap_q025,bootstrap_q975,bootstrap_fraction_positive,drop_one_block_min,drop_one_block_max,drop_one_length_min,drop_one_length_max
GPT-5.6 Terra,8,0.41494397841668657,5.614963507671544,7.473123662508375,52.716990970415786,0.00034705659664333776,8.02646096536283,6.617604197304223,8.873226149899814,1.0,6.825206257789905,8.340693159425342,7.18824478888207,9.562263599509258
GPT-5.6 Sol,5,0.26938763369953234,11.398691319454391,10.811122953955826,23.473898890056823,0.016776361226418395,10.415900440701,9.826227257838289,11.950582684462063,1.0,10.628470917918154,11.369809149050228,6.27382496295028,18.656702996861476
Claude Sonnet 5,14,0.35937852741279364,11.855242906993944,0.3886129690485676,0.32207892986931486,0.5948935820105796,-0.20582264355797,-0.7542687441905276,0.7848381583977242,0.636,-0.2493135508230169,0.5921393140743455,0.025494169280652356,1.7677894983346296
Claude Opus 5,6,1.3908020860675054,12.565573789471214,9.283808761204922,23.7470422047575,0.004580492808193998,1.57536686814213,-3.3327017026464745,9.967749041193638,0.9088,7.116894155361945,9.81432765307654,6.496783595836741,10.086185364616938
GPT-6 Astra,4,0.7154054371733998,19.360215982187558,13.27930086454859,91.5137882184992,0.00242334405707951,11.6318618674564,7.552105211947938,16.702576000050552,1.0,9.37083679851614,14.886073708509658,12.544795112405252,14.097350747314344
