model,input_tokens,epoch_primary_ttft_seconds,floor_quadratic_ttft_seconds
GPT-5.6 Terra,1000000,14.219928128784632,13.503031148596605
GPT-5.6 Terra,2000000,43.84188467132714,41.53736564379327
GPT-5.6 Terra,5000000,229.0252858833086,215.31785307948377
GPT-5.6 Terra,10000000,858.722726517791,803.8769453059695
GPT-5.6 Sol,1000000,22.575499544468784,22.47920190710975
GPT-5.6 Sol,2000000,65.38890522380588,66.31126208843162
GPT-5.6 Sol,5000000,318.8199275502292,327.5409180798671
GPT-5.6 Sol,10000000,1157.8409823889745,1195.368596223826
GPT-6 Astra,1000000,33.58920283703722,33.35492228390955
GPT-6 Astra,2000000,88.96076142168172,92.55304085974288
GPT-6 Astra,5000000,394.65777958509204,429.49900696182596
GPT-6 Astra,10000000,1369.4272845556986,1522.247651713908
Claude Sonnet 5,1000000,13.426592526834837,12.603234403455305
Claude Sonnet 5,2000000,26.364177357736434,25.624316217594952
Claude Sonnet 5,5000000,65.17693185044124,69.35091728859669
Claude Sonnet 5,10000000,129.86485600494922,157.77310450220898
Claude Opus 5,1000000,23.39396725801355,23.240184636743642
Claude Opus 5,2000000,45.18568383682335,63.657184709829615
Claude Opus 5,5000000,110.56083357325275,296.31389006354664
Claude Opus 5,10000000,219.51941646730177,1055.4274161012718
