model,session,date,blocks,floor_alpha,floor_beta,floor_gamma,gamma_ci_low,gamma_ci_high,p_value,ttft_10m_minutes
Claude Sonnet 5,headline,2026-08-14,14,0.35937852741280013,11.855242906993931,0.38861296904857545,-1.3716095273710471,2.1488354654681983,0.5948935820105903,2.629551741703494
Claude Sonnet 5,exploratory,2026-08-13,6,0.5201522092999445,11.249133436251597,0.5865959656324925,-4.006178150676484,5.179370081941468,0.755974406388598,2.861184718917753
Claude Opus 5,headline,2026-08-13,6,1.3908020860675112,12.565573789471204,9.283808761204929,4.386552184916152,14.181065337493706,0.0045804928081940345,17.59045693502121
Claude Opus 5,exploratory,2026-08-14,6,1.7939398654382113,9.704438211197871,4.329212317102894,2.40086962076212,6.257555013443668,0.0021956469654207437,8.86265922812844
