"model","method","intercept","linear","quadratic"
"GPT-5.6 Terra","Floor fit",0.414943978416685,5.61496350767154,7.47312366250838
"GPT-5.6 Sol","Floor fit",0.269387633699524,11.3986913194544,10.8111229539558
"Claude Sonnet 5","Floor fit",0.359378527412792,11.8552429069939,0.388612969048573
"Claude Opus 5","Floor fit",1.39080208606751,12.5655737894712,9.28380876120494
"GPT-6 Astra","Floor fit",0.715405437173395,19.3602159821876,13.2793008645486
